ls,Common,"Reveals what is hidden in plain sight."
cd,Common,"Bends space to move between worlds."
pwd,Common,"Knows exactly where it stands."
cat,Common,"Speaks the contents of silence."
echo,Common,"Projects thoughts into the void."
grep,Common,"Finds truth in noise."
touch,Common,"Creates something from nothing."
mkdir,Common,"Builds structure from emptiness."
rm,Common,"Erases without hesitation."
cp,Common,"Clones with quiet precision."
mv,Common,"Rewrites history in place."
chmod,Common,"Alters fate through permissions."
chown,Rare,"Transfers power to new hands."
head,Common,"Skims the surface."
tail,Common,"Watches the end of things."
less,Common,"Views without consuming."
more,Rare,"The ancestor of scrolling."
nano,Common,"A humble gateway to editing."
vim,Epic,"A weapon disguised as an editor."
emacs,Epic,"An operating system within an editor."
tar,Rare,"Bundles history into one."
gzip,Rare,"Compresses reality."
gunzip,Rare,"Restores compressed memory."
zip,Rare,"Seals artifacts for transport."
unzip,Rare,"Unpacks what was sealed."
ssh,Common,"Opens portals to distant machines."
scp,Rare,"Transfers artifacts across realms."
rsync,Epic,"Synchronizes worlds efficiently."
curl,Common,"Speaks HTTP fluently."
wget,Rare,"That's what you w-get!"
ping,Common,"Checks if life exists."
ifconfig,Rare,"Reveals network identity."
ip,Rare,"Modern keeper of network truth."
netstat,Rare,"Maps unseen connections."
ss,Epic,"The faster netstat."
top,Common,"Monitors the living."
htop,Rare,"A colorful pulse monitor."
ps,Common,"Lists the living processes."
kill,Common,"Ends processes decisively."
killall,Rare,"Sweeps them all away."
bg,Rare,"Sends work into the shadows."
fg,Rare,"Returns work to the light."
jobs,Rare,"Lists suspended destinies."
history,Common,"Remembers everything."
alias,Common,"Creates shortcuts through repetition."
unalias,Rare,"Removes false identities."
export,Common,"Shares power with children."
env,Common,"Displays the environment."
printenv,Rare,"Prints environmental secrets."
whoami,Common,"Asks the ultimate question."
who,Rare,"Shows who walks this machine."
uptime,Common,"Measures endurance."
df,Common,"Counts remaining space."
du,Rare,"Weighs directories."
mount,Rare,"Attaches new realms."
umount,Rare,"Detaches mounted worlds."
fdisk,Epic,"Partitions the physical."
mkfs,Epic,"Formats existence itself."
systemctl,Rare,"Commands the system's services."
service,Rare,"Legacy service controller."
apt,Common,"Installs from repositories."
apt-get,Rare,"The old package master."
yum,Rare,"Feeds the system packages."
dnf,Rare,"Next generation package manager."
pacman,Rare,"Arch's relentless installer."
brew,Rare,"macOS package conjurer."
snap,Rare,"Deploys sandboxed packages."
flatpak,Rare,"Installs cross-distro apps."
docker,Epic,"Summons containers from the void."
docker-compose,Epic,"Orchestrates container symphonies."
kubectl,Legendary,"Commands clusters at scale."
make,Epic,"Builds from instructions."
gcc,Epic,"Compiles raw C into reality."
g++,Epic,"Compiles complexity."
clang,Epic,"Alternative compiler forge."
python,Common,"Interprets ideas instantly."
python3,Common,"Modern interpreter of thought."
node,Rare,"Executes JavaScript beyond browsers."
npm,Rare,"Installs the JavaScript universe."
git,Common,"Tracks the evolution of code."
git-clone,Rare,"Copies repositories of knowledge."
git-pull,Rare,"Brings changes from afar."
git-push,Rare,"Shares your changes."
git-rebase,Epic,"Rewrites commit history."
git-cherry-pick,Epic,"Selects commits with precision."
awk,Epic,"Processes text like magic."
sed,Epic,"Streams edits invisibly."
cut,Rare,"Slices text cleanly."
sort,Common,"Orders chaos."
uniq,Rare,"Filters repetition."
wc,Common,"Counts everything."
xargs,Epic,"Builds commands dynamically."
find,Epic,"Excavates files relentlessly."
locate,Rare,"Finds instantly using memory."
tr,Rare,"Transforms characters."
watch,Rare,"Repeats endlessly."
time,Common,"Measures execution itself."
yes,Rare,"Agrees infinitely."
clear,Common,"Wipes the visible slate."
reboot,Legendary,"Restarts the world."
shutdown,Legendary,"Brings the system to rest."
basename,Rare,"Extracts names from paths."
dirname,Rare,"Finds parent paths."
stat,Rare,"Inspects file truth."
file,Rare,"Identifies mysterious formats."
ln,Rare,"Links separate realities."
readlink,Rare,"Reveals symbolic connections."
diff,Rare,"Compares two realities."
patch,Epic,"Applies transformation precisely."
tee,Rare,"Splits output streams."
screen,Epic,"Multiplexes terminals."
tmux,Legendary,"Controls panes of reality."
crontab,Rare,"Schedules destiny."
at,Rare,"Delays execution intentionally."
nohup,Rare,"Persists beyond logout."
lsof,Epic,"Lists open secrets."
strace,Epic,"Traces system whispers."
tcpdump,Legendary,"Captures packets mid-flight."
callate,Legendary,"No lo veo nada de gracioso."
nmap,Legendary,"Scans the unknown."
htpasswd,Rare,"Manages authentication."
adduser,Rare,"Creates new identities."
userdel,Rare,"Removes identities."
groupadd,Rare,"Forms alliances."
passwd,Common,"Changes secret keys."
su,Rare,"Switches identity."
sudo,Common,"Borrows root power."
chroot,Epic,"Changes the root of reality."
lsblk,Rare,"Lists block devices."
blkid,Rare,"Identifies disks."
dd,Legendary,"Copies raw bytes with dangerous power."
watchman,Rare,"Observes file changes."
free,Common,"Reports memory status."
vmstat,Rare,"Reports virtual memory."
iostat,Rare,"Reports IO stats."
mpstat,Rare,"Reports CPU stats."
uptime,Common,"Measures system endurance."
hostname,Common,"Speaks machine identity."
hostnamectl,Rare,"Controls host configuration."
dmesg,Epic,"Reads kernel messages."
journalctl,Epic,"Queries system logs."
logrotate,Rare,"Rotates logs silently."
tarcat,Rare,"Reads from tar archives."
strings,Rare,"Extracts printable sequences."
hexdump,Rare,"Displays binary truth."
xxd,Rare,"Hex viewer and editor."
bc,Rare,"Command-line calculator."
expr,Rare,"Evaluates expressions."
cal,Common,"Displays the calendar."
date,Common,"Tells time precisely."
sleep,Common,"Pauses execution."
factor,Rare,"Finds prime factors."
seq,Common,"Generates sequences."
shuf,Rare,"Shuffles input randomly."
timeout,Rare,"Limits execution time."
reset,Rare,"Restores terminal sanity."
column,Rare,"Formats output neatly."
iconv,Rare,"Converts character encoding."
dos2unix,Rare,"Fixes line endings."
unix2dos,Rare,"Adds carriage returns."
split,Rare,"Splits files into parts."
join,Rare,"Joins lines from files."
paste,Rare,"Merges lines side-by-side."
expand,Rare,"Converts tabs to spaces."
unexpand,Rare,"Converts spaces to tabs."
host,Rare,"Queries DNS."
dig,Rare,"Interrogates DNS deeply."
nslookup,Rare,"Legacy DNS query tool."
arp,Rare,"Displays ARP table."
route,Rare,"Displays routing table."
iptables,Epic,"Controls firewall rules."
ufw,Rare,"Simplifies firewall control."
mountpoint,Rare,"Checks mount status."
eject,Rare,"Ejects removable media."
poweroff,Legendary,"Shuts the system down."
wall,Rare,"Broadcasts messages."
write,Rare,"Writes to another terminal."
mesg,Rare,"Controls write access."
whois,Rare,"Queries domain registration."
finger,Rare,"Looks up user information."
groups,Rare,"Shows group memberships."
id,Common,"Displays user identity."
chgrp,Rare,"Changes group ownership."
install,Rare,"Copies and sets attributes."
statfs,Rare,"Reports filesystem stats."
zcat,Rare,"Views compressed files."
bzcat,Rare,"Views bzip2 files."
xzcat,Rare,"Views xz files."
lscpu,Rare,"Displays CPU info."
lsusb,Rare,"Lists USB devices."
lspci,Rare,"Lists PCI devices."
uptime,Common,"Measures runtime."
arch,Common,"Displays system architecture."
uname,Common,"Reports system information."
watchdog,Legendary,"Monitors system health."
