rm,"Deletes first. Regrets never."
sudo,"Because asking nicely didn’t work."
dd,"One typo away from disaster."
grep,"Professional overthinker of text."
awk,"Makes you feel smart until it doesn’t."
sed,"Edits reality mid-stream."
vim,"You will never truly leave."
emacs,"Still loading…"
docker,"It works on my machine."
kubectl,"Now you control the cluster. Probably."
git-rebase,"Rewrites history like it never happened."
git-push,"May the hooks be ever in your favor."
git-pull,"Brace for merge conflicts."
find,"Searches everywhere except where you expect."
chmod,"Trust issues, but with bits."
chown,"Power transfer initiated."
kill,"Ends processes without closure."
killall,"No survivors."
ps,"Who's still alive?"
top,"The system's pulse monitor."
htop,"Same pulse. More neon."
ssh,"Teleportation, but secure."
scp,"Copies through the void."
rsync,"Moves data like it means it."
curl,"Talks HTTP better than most humans."
wget,"Downloads and disappears."
history,"Remembers everything. Including your mistakes."
clear,"Pretends none of that happened."
make,"Hope the Makefile works."
gcc,"Turns warnings into existential dread."
python,"Indentation is law."
node,"Runs JavaScript in places it shouldn't."
npm,"Installs 1 package. Adds 312."
apt,"Trust me, it’s in the repo."
pacman,"You break it, you bought it."
brew,"For when macOS needs Linux energy."
systemctl,"System drama coordinator."
journalctl,"Reads system gossip."
dmesg,"Kernel oversharing."
nmap,"Knocks on every door."
tcpdump,"Listens quietly."
strace,"Follows every move."
ls,"Still the most used spell."
cd,"Escapes awkward directories."
pwd,"Existential confirmation."
yes,"Infinite optimism."
shutdown,"Goodnight, sweet system."
reboot,"Have you tried turning it off and on again?"
watch,"Because once wasn't enough."
alias,"Shortcut addiction."
export,"Sends variables into the wild."
